name,rank,year,company_founded,company_name,company_relationship,company_sector,company_type,demographics_age,demographics_gender,location_citizenship,location_country_code,location_gdp,location_region,wealth_type,wealth_worth_in_billions,wealth_how_category,wealth_how_from_emerging,wealth_how_industry,wealth_how_inherited,wealth_how_was_founder,wealth_how_was_political
 Bill Gates ,1,"1,996.00","1,975.00", Microsoft , founder ,  Software , new ,40, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,18.5, New Sectors , True , Technology-Computer , nonin , True , True 
 Bill Gates ,1,"2,001.00","1,975.00", Microsoft , founder ,  Software , new ,45, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,58.7, New Sectors , True , Technology-Computer , nonin , True , True 
 Bill Gates ,1,"2,014.00","1,975.00", Microsoft , founder ,  Software , new ,58, male , United States , USA , -   , North America , fnf ,76, New Sectors , True , Technology-Computer , nonin , True , True 
 Warren Buffett ,2,"1,996.00","1,962.00", Berkshire Hathaway , founder ,  Finance , new ,65, male , United States , USA ,"8,100,000,000,000.00", North America , fnf ,15, Traded Sectors , True , Consumer , nonin , True , True 
 Warren Buffett ,2,"2,001.00","1,962.00", Berkshire Hathaway , founder ,  Finance , new ,70, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,32.3, Traded Sectors , True , Consumer , nonin , True , True 
 Carlos Slim Helu ,2,"2,014.00","1,990.00", Telmex , founder ,  Communications , privatization ,74, male , Mexico , MEX , -   , Latin America , privatized and resources ,72, Non-Traded Sectors , True , Media , nonin , True , True 
 Oeri Hoffman and Sacher ,3,"1,996.00","1,896.00", F. Hoffmann-La Roche ,, pharmaceuticals , new , -   , unknown , Switzerland , CHE ,"330,000,000,000.00", Europe , inherited ,13.1, New Sectors , True , Technology-Medical , 3rd generation , True , True 
 Paul Allen ,3,"2,001.00","1,975.00", Microsoft , founder , technology , new ,48, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,30.4, New Sectors , True , Technology-Computer , nonin , True , True 
 Amancio Ortega ,3,"2,014.00","1,975.00", Zara , founder , Fashion , new ,77, male , Spain , ESP , -   , Europe , fnf ,64, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Lee Shau Kee ,4,"1,996.00","1,976.00", Henderson Land Development , founder/chairman , real estate , new ,68, male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , self-made finance ,12.7, Financial , True , Real Estate , nonin , True , True 
 Larry Ellison ,4,"2,001.00","1,977.00", Oracle , founder ,  software ,  new ,56, male , United States , USA ,"10,600,000,000,000.00", North America , fnf ,26, New Sectors , True , Technology-Computer , nonin , True , True 
 Warren Buffett ,4,"2,014.00","1,839.00", Berkshire Hathaway , founder ,  Finance , aquired ,83, male , United States , USA , -   , North America , fnf ,58.2, Traded Sectors , True , Consumer , nonin , True , True 
 Tsai Wan-lin ,5,"1,996.00","1,962.00", Lin Yuan Group , founder , banking and insurance , new ,71, male , Taiwan , Taiwan , -   , East Asia , self-made finance ,12.2, Financial , True , Hedge funds , nonin , True , True 
 Theo and Karl Albrecht ,5,"2,001.00","1,913.00", Aldi , founder , groceries , new , -   , male , Germany , DEU ,"1,950,000,000,000.00", Europe , fnf ,25, Non-Traded Sectors , True ," Retail, Restaurant ", nonin , True , True 
 Larry Ellison ,5,"2,014.00","1,977.00", Oracle , founder ,  software ,  new ,69, male , United States , USA , -   , North America , fnf ,48, New Sectors , True , Technology-Computer , nonin , True , True 
 Walter Thomas and Raymond Kwok ,6,"1,996.00","1,963.00", Sun Hung Kai Properties , Relation , real estate , new , -   , male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , inherited ,11.2, Financial , True , Real Estate , father , True , True 
 Prince Alwaleed Bin Talal Alsaud ,6,"2,001.00","1,980.00", Kingdom Holding Company , founder , construction/real estate/banking , new ,44, male , Saudi Arabia , SAU ,"183,000,000,000.00", Middle East/North Africa , privatized and resources ,20, Financial , True , Money Management , nonin , True , True 
 Charles Koch ,6,"2,014.00","1,940.00", Koch industries , relation ,   Oil refining , new ,78, male , United States , USA , -   , North America , inherited ,40, Financial , True , Diversified financial , father , True , True 
 David Koch ,6,"2,014.00","1,940.00", Koch industries , relation ,  Oil refining , new ,73, male , United States , USA , -   , North America , inherited ,40, Financial , True , Diversified financial , father , True , True 
 Li Ka-shing ,7,"1,996.00","1,971.00", Cheung king , founder , real estate , new ,67, male , Hong Kong , HKG ,"160,000,000,000.00", East Asia , self-made finance ,10.6, Financial , True , Real Estate , nonin , True , True 
 Jim Walton ,7,"2,001.00","1,962.00", Walmart , relation , retail ,  new ,53, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,18.8, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
 Yoshiaki Tsutsumi ,8,"1,996.00","1,894.00", Seibu Corporation , relation , real estate , aquired ,61, male , Japan , JPN ,"4,710,000,000,000.00", East Asia , inherited ,9.2, Financial , True , Real Estate , father , True , True 
 John Walton ,8,"2,001.00","1,962.00", Walmart , relation ,  retail ,  new ,55, male , United States , USA ,"10,600,000,000,000.00", North America , inherited ,18.7, Traded Sectors , True , Consumer , father , True , True 
 Sheldon Adelson ,8,"2,014.00","1,952.00", Las Vegas Sands , founder ,  casinos ,  acquired ,80, male , United States , USA , -   , North America , self-made finance ,38, Financial , True , Real Estate , nonin , True , True 
 Theo and Karl Albrecht ,9,"1,996.00","1,913.00", Aldi Nord , Relation , groceries , new , -   , male , Germany , DEU ,"2,500,000,000,000.00", Europe , inherited ,9, Non-Traded Sectors , True ," Retail, Restaurant ", father , True , True 
